iter	RMSE
0	14.11785954
1	13.27831411
2	12.41508516
3	11.68318713
4	11.04213451
5	10.47087439
6	9.911111078
7	9.434079857
8	9.038302864
9	8.639106127
10	8.272021089
11	7.98810787
12	7.71409172
13	7.480046514
14	7.285691098
15	7.073353186
16	6.896158657
17	6.730028351
18	6.581894909
19	6.445792345
20	6.326970607
21	6.238927481
22	6.138286121
23	6.052717961
24	5.97380677
25	5.912790002
26	5.836759058
27	5.766481821
28	5.722882183
29	5.671628026
30	5.630950906
31	5.576505388
32	5.535842647
33	5.506738397
34	5.463464006
35	5.436055062
36	5.411402685
37	5.394470984
38	5.373413887
39	5.348867018
40	5.332826674
41	5.311952437
42	5.294037175
43	5.279089695
44	5.255804932
45	5.239570036
46	5.216266839
47	5.201381862
48	5.184780587
49	5.15829803
50	5.145976514
51	5.12949091
52	5.106979535
53	5.093667491
54	5.085794981
55	5.074106569
56	5.060405203
57	5.038480341
58	5.022235364
59	5.016418599
60	5.001792329
61	4.996872671
62	4.98169331
63	4.974052405
64	4.96681054
65	4.955505947
66	4.945377531
67	4.93820812
68	4.931809541
69	4.918043543
70	4.90504747
71	4.890813778
72	4.879456961
73	4.873315646
74	4.858766783
75	4.843793811
76	4.837694616
77	4.830270887
78	4.815352022
79	4.810705808
80	4.807158939
81	4.798450077
82	4.783525062
83	4.781172816
84	4.773319137
85	4.758046187
86	4.75652005
87	4.74729281
88	4.737726527
89	4.732987146
90	4.728324388
91	4.711988358
92	4.701487221
93	4.69687812
94	4.681808383
95	4.663691925
96	4.652363343
97	4.64377567
98	4.624732297
99	4.618834565
